Sr-O,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
5.7,0.119855546784683,0.893220051684395,7.13902077054003,0.136502271477,6.402718979006
5.75,0.117831433890452,0.739413305815938,7.14593055828157,0.128264889341,6.410537270779
5.8,0.115651107682733,0.633772483633173,7.1460606556638,0.120463543691,6.418094665929
5.85,0.113307455583084,0.554154211577722,7.14325616465276,0.113080348207,6.425405867715
5.9,0.110802407820679,0.490700935550207,7.13902644913681,0.106097678871,6.432484278486
5.95,0.108144423118278,0.43828199138249,7.13407818864366,0.099498203295,6.439342254027
6,0.105346597955973,0.393912075071634,7.12878245501463,0.09326501964,6.445991025937
6.1,0.0993973509254434,0.322382599667251,7.11790529608004,0.081831586378,6.45870207882
6.2,0.0930989046263175,0.267015710708175,7.10726038268696,0.071670012485,6.470691538021
6.3,0.0866000042402935,0.222960871630642,7.09717323787456,0.06266032722,6.482023284026
6.4,0.08003858808874,0.187266638272312,7.08775704822181,0.054690149996,6.492752699054
6.5,0.0735347986029296,0.157976234210579,7.07903110494286,0.047655026384,6.502928313039
6.6,0.0671881700739791,0.133714464687652,7.07097127941316,0.041458411505,6.512593032259
6.7,0.0610772079679204,0.113473055213717,7.06353364081434,0.036011506205,6.521784954633
6.8,0.0552607700795083,0.0964903805627212,7.05666660582199,0.031233016049,6.530538326403
6.9,0.0497801462452999,0.0821779130988493,7.05031706397141,0.027048948744,6.538883792618
7,0.0446613934556319,0.0700722395284698,7.04443375469972,0.02339207552,6.546849027822
7.1,0.0399179585498955,0.0598034322601568,7.03896880649031,0.020201648148,6.55445904599
7.2,0.0355529984125117,0.0510726058860219,7.03387848708078,0.017423020661,6.561736559111
7.3,0.0315614560665505,0.0436357242750619,7.0291235329067,0.015007050225,6.568702125409
7.4,0.0279320799473309,0.0372919352343382,7.02466870474112,0.012909824365,6.575374456784
7.5,0.0246489612523077,0.0318746547489093,7.02048326967326,0.01109212387,6.581770684052
7.6,0.02169309169323,0.0272448768653725,7.01653942370657,0.009519113167,6.587906342287
7.7,0.0190432763718721,0.0232857165188485,7.01281314366777,0.008159821401,6.593795687692
7.8,0.0166773297929783,0.0198989842304472,7.00928308239291,0.006986895462,6.599451837704
7.9,0.014572580544918,0.0170013176267179,7.00593044394716,0.005976199938,6.604886824008
8,0.0127065754278267,0.014521992624733,7.00273874227446,0.005106414713,6.61011187459
8.1,0.0110575061871974,0.012400777919287,6.99969325508007,0.004358894502,6.615137311892
8.2,0.00960436384359146,0.010586151398512,6.99678092747617,0.003717192338,6.619972796558
8.3,0.00832741363724778,0.00903430792221789,6.99399019347592,0.003167005326,6.624627364978
8.4,0.00720816059331524,0.00770745058285338,6.9913107119005,0.002695844515,6.629109485124
8.5,0.00622947477737203,0.00657334921233651,6.98873327542579,0.002292797064,6.633427142872
8.6,0.00537556244437475,0.00560426730497766,6.98624955603264,0.001948345828,6.637587909783
8.7,0.0046320801561871,0.00477652404006403,6.98385221919668,0.001654309493,6.641598917666
8.8,0.00398603712474263,0.00406972535012693,6.98153461932116,0.001403566506,6.645466991718
8.9,0.00342565146675287,0.00346639170779881,6.97929077582778,0.001189889256,6.64919858308
9,0.00294042443097528,0.00295160884010194,6.97711531635467,0.001008019511,6.652799766602
10,0.00060173231159322,0.000579625329105834,6.95829220840349,0.000185245095,6.682802479719
11,0.000112674097302558,0.000108040451050853,6.94328945628869,3.2463125E-05,6.704630905031
12,1.97483021428639E-05,1.86458470976436E-05,6.93108670534241,5.607781E-06,6.720852208364
13,3.36731516259066E-06,3.01159549307755E-06,6.92112505960539,9.92517E-07,6.733094043347
14,5.67893407699896E-07,4.59415807168191E-07,6.91293918067337,1.80889E-07,6.742500225131
15,8.05742256804246E-08,4.6776E-08,6.9061709750932,3.2665E-08,6.749845454764
